Subject,Filename,Onset,Apex,Offset,Action Units,Label,catego,emo_label,eyes_au,mouth_au
01,EP02_01f,46,59,86,12,happiness,casme,1,0,3
01,EP03_02,131,139,161,18,others,casme,2,0,15
01,EP04_02,21,54,76,4,others,casme,2,7,0
01,EP04_03,31,41,56,4,others,casme,2,7,0
01,EP04_04,23,49,66,4,others,casme,2,7,0
01,EP19_01,26,49,66,4,others,casme,2,7,0
01,EP19_03f,81,96,161,4,others,casme,2,7,0
01,EP19_05f,396,416,446,4+7+L10,disgust,casme,0,11,1
01,EP19_06f,36,71,161,4+7+L10,disgust,casme,0,11,1
02,EP01_11f,46,91,96,15,repression,casme,3,0,10
02,EP02_04f,31,79,141,12+15,repression,casme,3,0,4
02,EP03_02f,16,81,136,15,repression,casme,3,0,10
02,EP06_01f,56,121,155,15,repression,casme,3,0,10
02,EP06_02f,36,64,111,15,repression,casme,3,0,10
02,EP08_04,16,69,106,14,others,casme,2,0,8
02,EP09_01,26,56,125,1+12,happiness,casme,1,1,3
02,EP09_06f,11,49,151,4,others,casme,2,7,0
02,EP09_10,26,36,66,17,others,casme,2,0,14
02,EP11_01,16,69,106,1+L2,surprise,casme,4,2,0
02,EP13_04,21,51,76,1,surprise,casme,4,1,0
02,EP14_01,81,114,126,1+L2,surprise,casme,4,2,0
02,EP15_04,26,66,96,17,others,casme,2,0,14
03,EP07_03,16,46,76,4,others,casme,2,7,0
03,EP07_04,21,81,106,4+L10,disgust,casme,0,7,1
03,EP08_1,11,44,91,4+17,others,casme,2,7,14
03,EP09_03,61,76,121,4+17,disgust,casme,0,7,14
03,EP18_06,26,81,126,4+7,disgust,casme,0,11,0
03,EP19_08,101,121,141,4+7,disgust,casme,0,11,0
04,EP12_01f,261,312,321,4+7+L10,disgust,casme,0,11,1
04,EP12_02f,356,387,406,4+9+L10+14,disgust,casme,0,13,2
04,EP13_02f,51,81,111,4,others,casme,2,7,0
04,EP13_06f,71,108,161,4+6+7,disgust,casme,0,10,0
04,EP19_01f,191,209,226,4,others,casme,2,7,0
05,EP02_07,36,66,101,1+2,surprise,casme,4,2,0
05,EP03_01,41,81,101,14,happiness,casme,1,0,8
05,EP03_06,33,66,83,1,surprise,casme,4,1,0
05,EP03_07,41,64,83,4,others,casme,2,7,0
05,EP04_05,16,44,66,1+2,surprise,casme,4,2,0
